Tên khách hàng (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Hạn mức nợ (VNĐ),Số dư nợ đầu kỳ (VNĐ),Kênh nhận HĐ (QR/EMAIL/ZALO)
Phan Văn Giang,0910008172,,khachhang.08172@gmail.com,"Số 173 Hai Bà Trưng, Quảng Ninh",8000000,2000000,QR
Đặng Quang Huy,0910008173,,khachhang.08173@gmail.com,"Số 174 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Hồ Anh Linh,0910008174,,khachhang.08174@gmail.com,"Số 175 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Lý Gia Nhung,0910008175,0300008175,khachhang.08175@gmail.com,"Số 176 Nguyễn Trãi, Hà Nội",12500000,0,QR
Lâm Đình Thắng,0910008176,,khachhang.08176@gmail.com,"Số 177 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Lê Thanh Vân,0910008177,,khachhang.08177@gmail.com,"Số 178 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Huỳnh Hồng Cường,0910008178,,khachhang.08178@gmail.com,"Số 179 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Võ Mạnh Hoài,0910008179,,khachhang.08179@gmail.com,"Số 180 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Đỗ Đức Kiên,0910008180,0300008180,khachhang.08180@gmail.com,"Số 181 Giải Phóng, Nam Định",5000000,2000000,ZALO
Dương Tuấn Nga,0910008181,,khachhang.08181@gmail.com,"Số 182 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Đoàn Bảo Tâm,0910008182,,khachhang.08182@gmail.com,"Số 183 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Trần Thị Tuấn,0910008183,,khachhang.08183@gmail.com,"Số 184 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Hoàng Minh An,0910008184,,khachhang.08184@gmail.com,"Số 185 Cầu Giấy, Hải Phòng",11000000,0,QR
Vũ Xuân Hạnh,0910008185,0300008185,khachhang.08185@gmail.com,"Số 186 Pasteur, Bình Dương",12500000,0,EMAIL
Bùi Trọng Khánh,0910008186,,khachhang.08186@gmail.com,"Số 187 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Ngô Ngọc Minh,0910008187,,khachhang.08187@gmail.com,"Số 188 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Đinh Hữu Quân,0910008188,,khachhang.08188@gmail.com,"Số 189 Nguyễn Huệ, Nghệ An",17000000,2000000,EMAIL
Nguyễn Kim Trang,0910008189,,khachhang.08189@gmail.com,"Số 190 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Phạm Văn Vy,0910008190,0300008190,khachhang.08190@gmail.com,"Số 191 Nguyễn Trãi, Hà Nội",5000000,0,QR
Phan Quang Hà,0910008191,,khachhang.08191@gmail.com,"Số 192 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Đặng Anh Hùng,0910008192,,khachhang.08192@gmail.com,"Số 193 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Hồ Gia Long,0910008193,,khachhang.08193@gmail.com,"Số 194 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Lý Đình Phong,0910008194,,khachhang.08194@gmail.com,"Số 195 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Lâm Thanh Thịnh,0910008195,0300008195,khachhang.08195@gmail.com,"Số 196 Giải Phóng, Nam Định",12500000,0,ZALO
Lê Hồng Vinh,0910008196,,khachhang.08196@gmail.com,"Số 197 Lý Thường Kiệt, Thanh Hóa",14000000,2000000,QR
Huỳnh Mạnh Dũng,0910008197,,khachhang.08197@gmail.com,"Số 198 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Võ Đức Hoàng,0910008198,,khachhang.08198@gmail.com,"Số 199 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Đỗ Tuấn Lan,0910008199,,khachhang.08199@gmail.com,"Số 200 Cầu Giấy, Hải Phòng",18500000,0,QR
Dương Bảo Nghĩa,0910008200,0300008200,khachhang.08200@gmail.com,"Số 201 Pasteur, Bình Dương",5000000,0,EMAIL
Đoàn Thị Thảo,0910008201,,khachhang.08201@gmail.com,"Số 202 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Trần Minh Tùng,0910008202,,khachhang.08202@gmail.com,"Số 203 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Hoàng Xuân Bình,0910008203,,khachhang.08203@gmail.com,"Số 204 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Vũ Trọng Hiếu,0910008204,,khachhang.08204@gmail.com,"Số 205 Cách Mạng Tháng 8, Khánh Hòa",11000000,2000000,ZALO
Bùi Ngọc Khoa,0910008205,0300008205,khachhang.08205@gmail.com,"Số 206 Nguyễn Trãi, Hà Nội",12500000,0,QR
Ngô Hữu Nam,0910008206,,khachhang.08206@gmail.com,"Số 207 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Đinh Kim Sơn,0910008207,,khachhang.08207@gmail.com,"Số 208 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Nguyễn Văn Trung,0910008208,,khachhang.08208@gmail.com,"Số 209 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Phạm Quang Yến,0910008209,,khachhang.08209@gmail.com,"Số 210 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Phan Anh Hải,0910008210,0300008210,khachhang.08210@gmail.com,"Số 211 Giải Phóng, Nam Định",5000000,0,ZALO
Đặng Gia Hương,0910008211,,khachhang.08211@gmail.com,"Số 212 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Hồ Đình Mai,0910008212,,khachhang.08212@gmail.com,"Số 213 Quang Trung, Lâm Đồng",8000000,2000000,EMAIL
Lý Thanh Phúc,0910008213,,khachhang.08213@gmail.com,"Số 214 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Lâm Hồng Thu,0910008214,,khachhang.08214@gmail.com,"Số 215 Cầu Giấy, Hải Phòng",11000000,0,QR
Lê Mạnh Vũ,0910008215,0300008215,khachhang.08215@gmail.com,"Số 216 Pasteur, Bình Dương",12500000,0,EMAIL
Huỳnh Đức Giang,0910008216,,khachhang.08216@gmail.com,"Số 217 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Võ Tuấn Huy,0910008217,,khachhang.08217@gmail.com,"Số 218 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Đỗ Bảo Linh,0910008218,,khachhang.08218@gmail.com,"Số 219 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Dương Thị Nhung,0910008219,,khachhang.08219@gmail.com,"Số 220 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Đoàn Minh Thắng,0910008220,0300008220,khachhang.08220@gmail.com,"Số 221 Nguyễn Trãi, Hà Nội",5000000,2000000,QR
Trần Xuân Vân,0910008221,,khachhang.08221@gmail.com,"Số 222 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Hoàng Trọng Cường,0910008222,,khachhang.08222@gmail.com,"Số 223 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Vũ Ngọc Hoài,0910008223,,khachhang.08223@gmail.com,"Số 224 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Bùi Hữu Kiên,0910008224,,khachhang.08224@gmail.com,"Số 225 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Ngô Kim Nga,0910008225,0300008225,khachhang.08225@gmail.com,"Số 226 Giải Phóng, Nam Định",12500000,0,ZALO
Đinh Văn Tâm,0910008226,,khachhang.08226@gmail.com,"Số 227 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Nguyễn Quang Tuấn,0910008227,,khachhang.08227@gmail.com,"Số 228 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Phạm Anh An,0910008228,,khachhang.08228@gmail.com,"Số 229 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,2000000,ZALO
Phan Gia Hạnh,0910008229,,khachhang.08229@gmail.com,"Số 230 Cầu Giấy, Hải Phòng",18500000,0,QR
Đặng Đình Khánh,0910008230,0300008230,khachhang.08230@gmail.com,"Số 231 Pasteur, Bình Dương",5000000,0,EMAIL
Hồ Thanh Minh,0910008231,,khachhang.08231@gmail.com,"Số 232 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Lý Hồng Quân,0910008232,,khachhang.08232@gmail.com,"Số 233 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Lâm Mạnh Trang,0910008233,,khachhang.08233@gmail.com,"Số 234 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Lê Đức Vy,0910008234,,khachhang.08234@gmail.com,"Số 235 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Huỳnh Tuấn Hà,0910008235,0300008235,khachhang.08235@gmail.com,"Số 236 Nguyễn Trãi, Hà Nội",12500000,0,QR
Võ Bảo Hùng,0910008236,,khachhang.08236@gmail.com,"Số 237 Hoàng Diệu, Đà Nẵng",14000000,2000000,EMAIL
Đỗ Thị Long,0910008237,,khachhang.08237@gmail.com,"Số 238 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Dương Minh Phong,0910008238,,khachhang.08238@gmail.com,"Số 239 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Đoàn Xuân Thịnh,0910008239,,khachhang.08239@gmail.com,"Số 240 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Trần Trọng Vinh,0910008240,0300008240,khachhang.08240@gmail.com,"Số 241 Giải Phóng, Nam Định",5000000,0,ZALO
Hoàng Ngọc Dũng,0910008241,,khachhang.08241@gmail.com,"Số 242 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Vũ Hữu Hoàng,0910008242,,khachhang.08242@gmail.com,"Số 243 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Bùi Kim Lan,0910008243,,khachhang.08243@gmail.com,"Số 244 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Ngô Văn Nghĩa,0910008244,,khachhang.08244@gmail.com,"Số 245 Cầu Giấy, Hải Phòng",11000000,2000000,QR
Đinh Quang Thảo,0910008245,0300008245,khachhang.08245@gmail.com,"Số 246 Pasteur, Bình Dương",12500000,0,EMAIL
Nguyễn Anh Tùng,0910008246,,khachhang.08246@gmail.com,"Số 247 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Phạm Gia Bình,0910008247,,khachhang.08247@gmail.com,"Số 248 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Phan Đình Hiếu,0910008248,,khachhang.08248@gmail.com,"Số 249 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Đặng Thanh Khoa,0910008249,,khachhang.08249@gmail.com,"Số 250 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Hồ Hồng Nam,0910008250,0300008250,khachhang.08250@gmail.com,"Số 251 Nguyễn Trãi, Hà Nội",5000000,0,QR
Lý Mạnh Sơn,0910008251,,khachhang.08251@gmail.com,"Số 252 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Lâm Đức Trung,0910008252,,khachhang.08252@gmail.com,"Số 253 Điện Biên Phủ, Cần Thơ",8000000,2000000,ZALO
Lê Tuấn Yến,0910008253,,khachhang.08253@gmail.com,"Số 254 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Huỳnh Bảo Hải,0910008254,,khachhang.08254@gmail.com,"Số 255 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Võ Thị Hương,0910008255,0300008255,khachhang.08255@gmail.com,"Số 256 Giải Phóng, Nam Định",12500000,0,ZALO
Đỗ Minh Mai,0910008256,,khachhang.08256@gmail.com,"Số 257 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Dương Xuân Phúc,0910008257,,khachhang.08257@gmail.com,"Số 258 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Đoàn Trọng Thu,0910008258,,khachhang.08258@gmail.com,"Số 259 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Trần Ngọc Vũ,0910008259,,khachhang.08259@gmail.com,"Số 260 Cầu Giấy, Hải Phòng",18500000,0,QR
Hoàng Hữu Giang,0910008260,0300008260,khachhang.08260@gmail.com,"Số 261 Pasteur, Bình Dương",5000000,2000000,EMAIL
Vũ Kim Huy,0910008261,,khachhang.08261@gmail.com,"Số 262 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Bùi Văn Linh,0910008262,,khachhang.08262@gmail.com,"Số 263 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Ngô Quang Nhung,0910008263,,khachhang.08263@gmail.com,"Số 264 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Đinh Anh Thắng,0910008264,,khachhang.08264@gmail.com,"Số 265 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Nguyễn Gia Vân,0910008265,0300008265,khachhang.08265@gmail.com,"Số 266 Nguyễn Trãi, Hà Nội",12500000,0,QR
Phạm Đình Cường,0910008266,,khachhang.08266@gmail.com,"Số 267 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Phan Thanh Hoài,0910008267,,khachhang.08267@gmail.com,"Số 268 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Đặng Hồng Kiên,0910008268,,khachhang.08268@gmail.com,"Số 269 Võ Văn Kiệt, Đồng Nai",17000000,2000000,QR
Hồ Mạnh Nga,0910008269,,khachhang.08269@gmail.com,"Số 270 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Lý Đức Tâm,0910008270,0300008270,khachhang.08270@gmail.com,"Số 271 Giải Phóng, Nam Định",5000000,0,ZALO
Lâm Tuấn Tuấn,0910008271,,khachhang.08271@gmail.com,"Số 272 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Lê Bảo An,0910008272,,khachhang.08272@gmail.com,"Số 273 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Huỳnh Thị Hạnh,0910008273,,khachhang.08273@gmail.com,"Số 274 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Võ Minh Khánh,0910008274,,khachhang.08274@gmail.com,"Số 275 Cầu Giấy, Hải Phòng",11000000,0,QR
Đỗ Xuân Minh,0910008275,0300008275,khachhang.08275@gmail.com,"Số 276 Pasteur, Bình Dương",12500000,0,EMAIL
Dương Trọng Quân,0910008276,,khachhang.08276@gmail.com,"Số 277 Bạch Đằng, Bắc Ninh",14000000,2000000,ZALO
Đoàn Ngọc Trang,0910008277,,khachhang.08277@gmail.com,"Số 278 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Trần Hữu Vy,0910008278,,khachhang.08278@gmail.com,"Số 279 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Hoàng Kim Hà,0910008279,,khachhang.08279@gmail.com,"Số 280 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Vũ Văn Hùng,0910008280,0300008280,khachhang.08280@gmail.com,"Số 281 Nguyễn Trãi, Hà Nội",5000000,0,QR
Bùi Quang Long,0910008281,,khachhang.08281@gmail.com,"Số 282 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Ngô Anh Phong,0910008282,,khachhang.08282@gmail.com,"Số 283 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Đinh Gia Thịnh,0910008283,,khachhang.08283@gmail.com,"Số 284 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Nguyễn Đình Vinh,0910008284,,khachhang.08284@gmail.com,"Số 285 Lê Lợi, Thái Nguyên",11000000,2000000,EMAIL
Phạm Thanh Dũng,0910008285,0300008285,khachhang.08285@gmail.com,"Số 286 Giải Phóng, Nam Định",12500000,0,ZALO
Phan Hồng Hoàng,0910008286,,khachhang.08286@gmail.com,"Số 287 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Đặng Mạnh Lan,0910008287,,khachhang.08287@gmail.com,"Số 288 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Hồ Đức Nghĩa,0910008288,,khachhang.08288@gmail.com,"Số 289 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Lý Tuấn Thảo,0910008289,,khachhang.08289@gmail.com,"Số 290 Cầu Giấy, Hải Phòng",18500000,0,QR
Lâm Bảo Tùng,0910008290,0300008290,khachhang.08290@gmail.com,"Số 291 Pasteur, Bình Dương",5000000,0,EMAIL
Lê Thị Bình,0910008291,,khachhang.08291@gmail.com,"Số 292 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Huỳnh Minh Hiếu,0910008292,,khachhang.08292@gmail.com,"Số 293 Hai Bà Trưng, Quảng Ninh",8000000,2000000,QR
Võ Xuân Khoa,0910008293,,khachhang.08293@gmail.com,"Số 294 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Đỗ Trọng Nam,0910008294,,khachhang.08294@gmail.com,"Số 295 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Dương Ngọc Sơn,0910008295,0300008295,khachhang.08295@gmail.com,"Số 296 Nguyễn Trãi, Hà Nội",12500000,0,QR
Đoàn Hữu Trung,0910008296,,khachhang.08296@gmail.com,"Số 297 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Trần Kim Yến,0910008297,,khachhang.08297@gmail.com,"Số 298 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Hoàng Văn Hải,0910008298,,khachhang.08298@gmail.com,"Số 299 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Vũ Quang Hương,0910008299,,khachhang.08299@gmail.com,"Số 300 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Bùi Anh Mai,0910008300,0300008300,khachhang.08300@gmail.com,"Số 301 Giải Phóng, Nam Định",5000000,2000000,ZALO
Ngô Gia Phúc,0910008301,,khachhang.08301@gmail.com,"Số 302 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Đinh Đình Thu,0910008302,,khachhang.08302@gmail.com,"Số 303 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Nguyễn Thanh Vũ,0910008303,,khachhang.08303@gmail.com,"Số 304 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Phạm Hồng Giang,0910008304,,khachhang.08304@gmail.com,"Số 305 Cầu Giấy, Hải Phòng",11000000,0,QR
Phan Mạnh Huy,0910008305,0300008305,khachhang.08305@gmail.com,"Số 306 Pasteur, Bình Dương",12500000,0,EMAIL
Đặng Đức Linh,0910008306,,khachhang.08306@gmail.com,"Số 307 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Hồ Tuấn Nhung,0910008307,,khachhang.08307@gmail.com,"Số 308 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Lý Bảo Thắng,0910008308,,khachhang.08308@gmail.com,"Số 309 Nguyễn Huệ, Nghệ An",17000000,2000000,EMAIL
Lâm Thị Vân,0910008309,,khachhang.08309@gmail.com,"Số 310 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Lê Minh Cường,0910008310,0300008310,khachhang.08310@gmail.com,"Số 311 Nguyễn Trãi, Hà Nội",5000000,0,QR
Huỳnh Xuân Hoài,0910008311,,khachhang.08311@gmail.com,"Số 312 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Võ Trọng Kiên,0910008312,,khachhang.08312@gmail.com,"Số 313 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Đỗ Ngọc Nga,0910008313,,khachhang.08313@gmail.com,"Số 314 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Dương Hữu Tâm,0910008314,,khachhang.08314@gmail.com,"Số 315 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Đoàn Kim Tuấn,0910008315,0300008315,khachhang.08315@gmail.com,"Số 316 Giải Phóng, Nam Định",12500000,0,ZALO
Trần Văn An,0910008316,,khachhang.08316@gmail.com,"Số 317 Lý Thường Kiệt, Thanh Hóa",14000000,2000000,QR
Hoàng Quang Hạnh,0910008317,,khachhang.08317@gmail.com,"Số 318 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Vũ Anh Khánh,0910008318,,khachhang.08318@gmail.com,"Số 319 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Bùi Gia Minh,0910008319,,khachhang.08319@gmail.com,"Số 320 Cầu Giấy, Hải Phòng",18500000,0,QR
Ngô Đình Quân,0910008320,0300008320,khachhang.08320@gmail.com,"Số 321 Pasteur, Bình Dương",5000000,0,EMAIL
Đinh Thanh Trang,0910008321,,khachhang.08321@gmail.com,"Số 322 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Nguyễn Hồng Vy,0910008322,,khachhang.08322@gmail.com,"Số 323 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Phạm Mạnh Hà,0910008323,,khachhang.08323@gmail.com,"Số 324 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Phan Đức Hùng,0910008324,,khachhang.08324@gmail.com,"Số 325 Cách Mạng Tháng 8, Khánh Hòa",11000000,2000000,ZALO
Đặng Tuấn Long,0910008325,0300008325,khachhang.08325@gmail.com,"Số 326 Nguyễn Trãi, Hà Nội",12500000,0,QR
Hồ Bảo Phong,0910008326,,khachhang.08326@gmail.com,"Số 327 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Lý Thị Thịnh,0910008327,,khachhang.08327@gmail.com,"Số 328 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Lâm Minh Vinh,0910008328,,khachhang.08328@gmail.com,"Số 329 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Lê Xuân Dũng,0910008329,,khachhang.08329@gmail.com,"Số 330 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Huỳnh Trọng Hoàng,0910008330,0300008330,khachhang.08330@gmail.com,"Số 331 Giải Phóng, Nam Định",5000000,0,ZALO
Võ Ngọc Lan,0910008331,,khachhang.08331@gmail.com,"Số 332 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Đỗ Hữu Nghĩa,0910008332,,khachhang.08332@gmail.com,"Số 333 Quang Trung, Lâm Đồng",8000000,2000000,EMAIL
Dương Kim Thảo,0910008333,,khachhang.08333@gmail.com,"Số 334 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Đoàn Văn Tùng,0910008334,,khachhang.08334@gmail.com,"Số 335 Cầu Giấy, Hải Phòng",11000000,0,QR
Trần Quang Bình,0910008335,0300008335,khachhang.08335@gmail.com,"Số 336 Pasteur, Bình Dương",12500000,0,EMAIL
Hoàng Anh Hiếu,0910008336,,khachhang.08336@gmail.com,"Số 337 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Vũ Gia Khoa,0910008337,,khachhang.08337@gmail.com,"Số 338 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Bùi Đình Nam,0910008338,,khachhang.08338@gmail.com,"Số 339 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Ngô Thanh Sơn,0910008339,,khachhang.08339@gmail.com,"Số 340 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Đinh Hồng Trung,0910008340,0300008340,khachhang.08340@gmail.com,"Số 341 Nguyễn Trãi, Hà Nội",5000000,2000000,QR
Nguyễn Mạnh Yến,0910008341,,khachhang.08341@gmail.com,"Số 342 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Phạm Đức Hải,0910008342,,khachhang.08342@gmail.com,"Số 343 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Phan Tuấn Hương,0910008343,,khachhang.08343@gmail.com,"Số 344 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Đặng Bảo Mai,0910008344,,khachhang.08344@gmail.com,"Số 345 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Hồ Thị Phúc,0910008345,0300008345,khachhang.08345@gmail.com,"Số 346 Giải Phóng, Nam Định",12500000,0,ZALO
Lý Minh Thu,0910008346,,khachhang.08346@gmail.com,"Số 347 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Lâm Xuân Vũ,0910008347,,khachhang.08347@gmail.com,"Số 348 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Lê Trọng Giang,0910008348,,khachhang.08348@gmail.com,"Số 349 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,2000000,ZALO
Huỳnh Ngọc Huy,0910008349,,khachhang.08349@gmail.com,"Số 350 Cầu Giấy, Hải Phòng",18500000,0,QR
Võ Hữu Linh,0910008350,0300008350,khachhang.08350@gmail.com,"Số 351 Pasteur, Bình Dương",5000000,0,EMAIL
Đỗ Kim Nhung,0910008351,,khachhang.08351@gmail.com,"Số 352 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Dương Văn Thắng,0910008352,,khachhang.08352@gmail.com,"Số 353 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Đoàn Quang Vân,0910008353,,khachhang.08353@gmail.com,"Số 354 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Trần Anh Cường,0910008354,,khachhang.08354@gmail.com,"Số 355 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Hoàng Gia Hoài,0910008355,0300008355,khachhang.08355@gmail.com,"Số 356 Nguyễn Trãi, Hà Nội",12500000,0,QR
Vũ Đình Kiên,0910008356,,khachhang.08356@gmail.com,"Số 357 Hoàng Diệu, Đà Nẵng",14000000,2000000,EMAIL
Bùi Thanh Nga,0910008357,,khachhang.08357@gmail.com,"Số 358 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Ngô Hồng Tâm,0910008358,,khachhang.08358@gmail.com,"Số 359 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Đinh Mạnh Tuấn,0910008359,,khachhang.08359@gmail.com,"Số 360 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Nguyễn Đức An,0910008360,0300008360,khachhang.08360@gmail.com,"Số 361 Giải Phóng, Nam Định",5000000,0,ZALO
Phạm Tuấn Hạnh,0910008361,,khachhang.08361@gmail.com,"Số 362 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Phan Bảo Khánh,0910008362,,khachhang.08362@gmail.com,"Số 363 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Đặng Thị Minh,0910008363,,khachhang.08363@gmail.com,"Số 364 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Hồ Minh Quân,0910008364,,khachhang.08364@gmail.com,"Số 365 Cầu Giấy, Hải Phòng",11000000,2000000,QR
Lý Xuân Trang,0910008365,0300008365,khachhang.08365@gmail.com,"Số 366 Pasteur, Bình Dương",12500000,0,EMAIL
Lâm Trọng Vy,0910008366,,khachhang.08366@gmail.com,"Số 367 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Lê Ngọc Hà,0910008367,,khachhang.08367@gmail.com,"Số 368 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Huỳnh Hữu Hùng,0910008368,,khachhang.08368@gmail.com,"Số 369 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Võ Kim Long,0910008369,,khachhang.08369@gmail.com,"Số 370 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Đỗ Văn Phong,0910008370,0300008370,khachhang.08370@gmail.com,"Số 371 Nguyễn Trãi, Hà Nội",5000000,0,QR
Dương Quang Thịnh,0910008371,,khachhang.08371@gmail.com,"Số 372 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Đoàn Anh Vinh,0910008372,,khachhang.08372@gmail.com,"Số 373 Điện Biên Phủ, Cần Thơ",8000000,2000000,ZALO
Trần Gia Dũng,0910008373,,khachhang.08373@gmail.com,"Số 374 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
